Date,Price
12/2/21,66.27
12/1/21,65.37
11/30/21,65.85
11/29/21,69.62
11/26/21,67.84
11/25/21,77.41
11/24/21,77.81
11/23/21,77.94
11/22/21,76.12
11/19/21,75.94
11/18/21,78.41
11/17/21,77.55
11/16/21,79.74
11/15/21,79.75
11/12/21,79.69
11/11/21,80.42
11/10/21,80.06
11/9/21,82.56
11/8/21,80.74
11/5/21,80.13
11/4/21,77.7
11/3/21,79.57
11/2/21,82.44
11/1/21,82.45
10/29/21,81.78
10/28/21,81.46
10/27/21,81.48
10/26/21,83.36
10/25/21,82.61
10/22/21,82.5
10/21/21,81.36
10/20/21,83.42
10/19/21,82.44
10/18/21,81.69
10/15/21,81.73
10/14/21,80.77
10/13/21,79.82
10/12/21,79.92
10/11/21,79.92
10/8/21,78.76
10/7/21,77.96
10/6/21,77.06
10/5/21,78.57
10/4/21,77.33
10/1/21,75.58
9/30/21,74.7
9/29/21,74.5
9/28/21,74.9
9/27/21,75.08
9/24/21,73.61
9/23/21,72.95
9/22/21,71.89
9/21/21,70.49
9/20/21,70.14
9/17/21,71.82
9/16/21,72.37
9/15/21,72.33
9/14/21,70.23
9/13/21,70.19
9/10/21,69.47
9/9/21,67.92
9/8/21,69.05
9/7/21,68.13
9/6/21,68.8
9/5/21,68.75
9/3/21,69.07
9/2/21,69.73
9/1/21,68.32
8/31/21,68.26
8/30/21,68.93
8/27/21,68.48
8/26/21,67.1
8/25/21,68.06
8/24/21,67.25
8/23/21,65.34
8/20/21,62.14
8/19/21,63.5
8/18/21,65.21
8/17/21,66.34
8/16/21,67.05
8/13/21,68.21
8/12/21,68.9
8/11/21,69.02
8/10/21,68.06
8/9/21,66.3
8/6/21,68.1
8/5/21,68.74
8/4/21,67.79
8/3/21,70.03
8/2/21,70.61
7/30/21,73.23
7/29/21,72.98
7/28/21,71.79
7/27/21,71.14
7/26/21,71.34
7/23/21,71.38
7/22/21,71.14
7/21/21,69.57
7/20/21,67.2
7/19/21,66.35
7/16/21,71.56
7/15/21,71.38
7/14/21,72.64
7/13/21,74.69
7/12/21,73.44
7/9/21,73.81
7/8/21,72.22
7/7/21,71.5
7/6/21,72.58
7/5/21,76.25
7/4/21,75.14
7/2/21,74.36
7/1/21,74.33
6/30/21,72.77
6/29/21,72.31
6/28/21,72.2
6/25/21,73.33
6/24/21,72.63
6/23/21,72.36
6/22/21,72.85
6/21/21,73.12
6/18/21,71.29
6/17/21,70.78
6/16/21,71.95
6/15/21,71.86
6/14/21,70.63
6/11/21,70.6
6/10/21,70.09
6/9/21,69.79
6/8/21,69.87
6/7/21,69.04
6/4/21,69.39
6/3/21,68.6
6/2/21,68.63
6/1/21,67.52
5/31/21,66.96
5/30/21,66.59
5/28/21,66.1
5/27/21,66.6
5/26/21,65.96
5/25/21,65.79
5/24/21,65.78
5/21/21,63.36
5/20/21,61.94
5/19/21,63.35
5/18/21,65.5
5/17/21,66.28
5/14/21,65.36
5/13/21,63.84
5/12/21,66.1
5/11/21,65.3
5/10/21,64.93
